WRL	0	WR			World
SPG	3	1979	1979-08-28	1979-09-07	1979_South_Pacific_Games
SPG	3	1975	1975-08-01	1975-08-09	1975_South_Pacific_Games
SPG	3	1971	1971-09-08	1971-09-18	1971_South_Pacific_Games
SPG	3	1969	1969-08-13	1969-08-22	1969_South_Pacific_Games
SPG	3	1966	1966-12-08	1966-12-17	1966_South_Pacific_Games
SPG	3	1963	1963-08-28	1963-09-07	1963_South_Pacific_Games
MLN	2				2025_Melanesian_Cup
MLN	3	2025	2025-11-12	2025-11-23	2025_Melanesian_Cup
MLN	3	2024	2024-12-08	2024-12-21	2024_Melanesian_Cup
MLN	3	2023	2023-10-07	2023-10-14	2023_Melanesian_Cup
MLN	3	2022	2022-09-16	2022-09-30	2022_Melanesian_Cup
MLN	3	2000	2000-04-07	2000-04-15	2000_Melanesian_Cup
MLN	3	1998	1998-09-04	1998-09-12	1998_Melanesian_Cup
MLN	3	1994	1994-07-02	1994-07-08	1994_Melanesian_Cup
MLN	3	1992	1992-07-24	1992-07-30	1992_Melanesian_Cup
MLN	3	1990	1990-10-31	1990-11-08	1990_Melanesian_Cup
MLN	3	1989	1989-10-27	1989-11-04	1989_Melanesian_Cup
MLN	3	1988	1988-10-20	1988-10-26	1988_Melanesian_Cup
PLN	2				2000_Polynesian_Cup
PLN	3	2000	2000-06-05	2000-06-14	2000_Polynesian_Cup
PLN	3	1998	1998-09-01	1998-09-08	1998_Polynesian_Cup
PLN	3	1994	1994-11-23	1994-11-28	1994_Polynesian_Cup
C	0				
UEF	1	UE			UEFA
CMB	1	MB			CONMEBOL
CNC	1	NC		2026-07-20	CONCACAF
CFU	2	CU		2026-07-20	CFU
UNF	2	UF		2026-07-20	UNCAF
CAF	1	FF			CAF
CEF	2	EFF			CECAFA
COF	2	SFA			COSAFA
UNA	2	NAF			UNAF
CFF	2	UCA			UNIFFAC
WAU	2	WFF			WAFU
AFC	1	SC			AFC
AFF	2	SNF			AFF
CAA	2	CSA			CAFA
EAF	2	EAS			EAFF
SAF	2	SSF			SAFF
WAF	2	WSF			WAFF
OFC	1	OF			OFC
UAF	1	AFA			UAFA
UN	1	UFL		2026-07-20	Unaffiliated
R	0				
AF	1				Africa
CF	2				Central_Africa
EF	2				Eastern_Africa
NF	2				Northern_Africa
SF	2				Southern_Africa
WF	2				Western_Africa
AM	1				America
CB	2			2026-07-20	Caribbean
CM	2			2026-07-20	Central_America
LM	2				Latin_America
NM	2			2026-07-20	North_America
SM	2				South_America
AS	1				Asia
CS	2				Central_Asia
ES	2				Eastern_Asia
SES	2				Southeast_Asia
SS	2				Southern_Asia
WS	2				Western_Asia
E	1				Europe
CE	2				Central_Europe
EE	2				Eastern_Europe
NE	2				Northern_Europe
SEE	2				Southeast_Europe
SE	2				Southern_Europe
WE	2				Western_Europe
O	1				Oceania
ME	2			2026-07-20	Melanesia
MI	2			2026-07-20	Micronesia
PO	2			2026-07-20	Polynesia
YR	0	YRL			2026
2020-26	1
YR	2	2026	2025-12-31	2026-07-20	2026
YR	2	2025	2024-12-31	2025-12-31	2025
YR	2	2024	2023-12-31	2024-12-31	2024
YR	2	2023	2022-12-31	2023-12-31	2023
YR	2	2022	2021-12-31	2022-12-31	2022
YR	2	2021	2020-12-31	2021-12-31	2021
YR	2	2020	2019-12-31	2020-12-31	2020
2010-19	1
YR	2	2019	2018-12-31	2019-12-31	2019
YR	2	2018	2017-12-31	2018-12-31	2018
YR	2	2017	2016-12-31	2017-12-31	2017
YR	2	2016	2015-12-31	2016-12-31	2016
YR	2	2015	2014-12-31	2015-12-31	2015
YR	2	2014	2013-12-31	2014-12-31	2014
YR	2	2013	2012-12-31	2013-12-31	2013
YR	2	2012	2011-12-31	2012-12-31	2012
YR	2	2011	2010-12-31	2011-12-31	2011
YR	2	2010	2009-12-31	2010-12-31	2010
2000-09	1
YR	2	2009	2008-12-31	2009-12-31	2009
YR	2	2008	2007-12-31	2008-12-31	2008
YR	2	2007	2006-12-31	2007-12-31	2007
YR	2	2006	2005-12-31	2006-12-31	2006
YR	2	2005	2004-12-31	2005-12-31	2005
YR	2	2004	2003-12-31	2004-12-31	2004
YR	2	2003	2002-12-31	2003-12-31	2003
YR	2	2002	2001-12-31	2002-12-31	2002
YR	2	2001	2000-12-31	2001-12-31	2001
YR	2	2000	1999-12-31	2000-12-31	2000
1990-99	1
YR	2	1999	1998-12-31	1999-12-31	1999
YR	2	1998	1997-12-31	1998-12-31	1998
YR	2	1997	1996-12-31	1997-12-31	1997
YR	2	1996	1995-12-31	1996-12-31	1996
YR	2	1995	1994-12-31	1995-12-31	1995
YR	2	1994	1993-12-31	1994-12-31	1994
YR	2	1993	1992-12-31	1993-12-31	1993
YR	2	1992	1991-12-31	1992-12-31	1992
YR	2	1991	1990-12-31	1991-12-31	1991
YR	2	1990	1989-12-31	1990-12-31	1990
1980-89	1
YR	2	1989	1988-12-31	1989-12-31	1989
YR	2	1988	1987-12-31	1988-12-31	1988
YR	2	1987	1986-12-31	1987-12-31	1987
YR	2	1986	1985-12-31	1986-12-31	1986
YR	2	1985	1984-12-31	1985-12-31	1985
YR	2	1984	1983-12-31	1984-12-31	1984
YR	2	1983	1982-12-31	1983-12-31	1983
YR	2	1982	1981-12-31	1982-12-31	1982
YR	2	1981	1980-12-31	1981-12-31	1981
YR	2	1980	1979-12-31	1980-12-31	1980
1970-79	1
YR	2	1979	1978-12-31	1979-12-31	1979
YR	2	1978	1977-12-31	1978-12-31	1978
YR	2	1977	1976-12-31	1977-12-31	1977
YR	2	1976	1975-12-31	1976-12-31	1976
YR	2	1975	1974-12-31	1975-12-31	1975
YR	2	1974	1973-12-31	1974-12-31	1974
YR	2	1973	1972-12-31	1973-12-31	1973
YR	2	1972	1971-12-31	1972-12-31	1972
YR	2	1971	1970-12-31	1971-12-31	1971
YR	2	1970	1969-12-31	1970-12-31	1970
1960-69	1
YR	2	1969	1968-12-31	1969-12-31	1969
YR	2	1968	1967-12-31	1968-12-31	1968
YR	2	1967	1966-12-31	1967-12-31	1967
YR	2	1966	1965-12-31	1966-12-31	1966
YR	2	1965	1964-12-31	1965-12-31	1965
YR	2	1964	1963-12-31	1964-12-31	1964
YR	2	1963	1962-12-31	1963-12-31	1963
YR	2	1962	1961-12-31	1962-12-31	1962
YR	2	1961	1960-12-31	1961-12-31	1961
YR	2	1960	1959-12-31	1960-12-31	1960
1950-59	1
YR	2	1959	1958-12-31	1959-12-31	1959
YR	2	1958	1957-12-31	1958-12-31	1958
YR	2	1957	1956-12-31	1957-12-31	1957
YR	2	1956	1955-12-31	1956-12-31	1956
YR	2	1955	1954-12-31	1955-12-31	1955
YR	2	1954	1953-12-31	1954-12-31	1954
YR	2	1953	1952-12-31	1953-12-31	1953
YR	2	1952	1951-12-31	1952-12-31	1952
YR	2	1951	1950-12-31	1951-12-31	1951
YR	2	1950	1949-12-31	1950-12-31	1950
1940-49	1
YR	2	1949	1948-12-31	1949-12-31	1949
YR	2	1948	1947-12-31	1948-12-31	1948
YR	2	1947	1946-12-31	1947-12-31	1947
YR	2	1946	1945-12-31	1946-12-31	1946
YR	2	1945	1944-12-31	1945-12-31	1945
YR	2	1944	1943-12-31	1944-12-31	1944
YR	2	1943	1942-12-31	1943-12-31	1943
YR	2	1942	1941-12-31	1942-12-31	1942
YR	2	1941	1940-12-31	1941-12-31	1941
YR	2	1940	1939-12-31	1940-12-31	1940
1930-39	1
YR	2	1939	1938-12-31	1939-12-31	1939
YR	2	1938	1937-12-31	1938-12-31	1938
YR	2	1937	1936-12-31	1937-12-31	1937
YR	2	1936	1935-12-31	1936-12-31	1936
YR	2	1935	1934-12-31	1935-12-31	1935
YR	2	1934	1933-12-31	1934-12-31	1934
YR	2	1933	1932-12-31	1933-12-31	1933
YR	2	1932	1931-12-31	1932-12-31	1932
YR	2	1931	1930-12-31	1931-12-31	1931
YR	2	1930	1929-12-31	1930-12-31	1930
1920-29	1
YR	2	1929	1928-12-31	1929-12-31	1929
YR	2	1928	1927-12-31	1928-12-31	1928
YR	2	1927	1926-12-31	1927-12-31	1927
YR	2	1926	1925-12-31	1926-12-31	1926
YR	2	1925	1924-12-31	1925-12-31	1925
YR	2	1924	1923-12-31	1924-12-31	1924
YR	2	1923	1922-12-31	1923-12-31	1923
YR	2	1922	1921-12-31	1922-12-31	1922
YR	2	1921	1920-12-31	1921-12-31	1921
YR	2	1920	1919-12-31	1920-12-31	1920
1910-19	1
YR	2	1919	1918-12-31	1919-12-31	1919
YR	2	1918	1917-12-31	1918-12-31	1918
YR	2	1917	1916-12-31	1917-12-31	1917
YR	2	1916	1915-12-31	1916-12-31	1916
YR	2	1915	1914-12-31	1915-12-31	1915
YR	2	1914	1913-12-31	1914-12-31	1914
YR	2	1913	1912-12-31	1913-12-31	1913
YR	2	1912	1911-12-31	1912-12-31	1912
YR	2	1911	1910-12-31	1911-12-31	1911
YR	2	1910	1909-12-31	1910-12-31	1910
1901-09	1
YR	2	1909	1908-12-31	1909-12-31	1909
YR	2	1908	1907-12-31	1908-12-31	1908
YR	2	1907	1906-12-31	1907-12-31	1907
YR	2	1906	1905-12-31	1906-12-31	1906
YR	2	1905	1904-12-31	1905-12-31	1905
YR	2	1904	1903-12-31	1904-12-31	1904
YR	2	1903	1902-12-31	1903-12-31	1903
YR	2	1902	1901-12-31	1902-12-31	1902
YR	2	1901		1901-12-31	1901
